"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-01","23","16","16"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-02","16","4","11"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-03","14","-5","13"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-04","24","10","23"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-05","23","18","21"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-06","21","12","18"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-07","18","-12","-12"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-08","-12","-22","-21"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-09","-8","-28","-8"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-10","18","-8","18"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-11","26","-8","-8"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-12","9","-21","9"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-13","39","9","20"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-14","26","7","26"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-15","35","25","31"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-16","31","18","20"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-17","21","16","19"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-18","19","14","18"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-19","32","2","19"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-20","27","-2","24"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-21","25","16","24"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-22","24","0","2"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-23","3","-26","2"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-24","30","0","12"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-25","12","-15","-15"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-26","-7","-32","-12"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-27","0","-34","-7"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-28","-3","-33","-11"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-29","-5","-36","-8"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-30","6","-25","-1"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-01-31","13","-30",
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-01","15","-20","8"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-02","16","-10","12"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-03","18","1","14"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-04","16","7","15"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-05","24","14","18"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-06","21","-12","18"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-07","21","15","16"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-08","25","3","15"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-09","19","13",
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-10","23","12","14"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-11","15","4","10"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-12","22","-21","16"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-13","19","4","10"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-14","16","-19","10"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-15","10","-15","0"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-16","7","-15","3"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-17","19","-23","16"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-18","32","13","24"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-19","33","21","30"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-20","32","20","28"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-21","30","22","28"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-22","28","10","10"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-23","19","0","17"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-24","17","0","9"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-25","9","-18","-1"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-26","25","-12",
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-27","17","-6","12"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-28","11","-7","-1"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-02-29","4","-31","-3"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-01","11","-33","8"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-02","25","-5","22"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-03","25","6","18"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-04","18","-9","0"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-05","12","-10","10"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-06","26","-10","19"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-07","33","-13","28"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-08","28","-7","19"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-09","34","-5","31"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-10","31","-5","7"
