STATION,NAME,DATE,Avg_Wind_Speed,Precipitation,Snowfall,TMAX,TMIN,Fog,Heavy_fog,Thunder,Ice_pellets,Hail,Glaze,Dust,Smoke,Blowing,High_winds,Mist,Drizzle,Freezing_dizzile, Rain,Freezing,Snow,Ice Fog,Rain
USW00094746,"WORCESTER, MA US",1/1/1950,,0,0,40,27,,,,1,,,,1,, ,,,,1,,,,
USW00094746,"WORCESTER, MA US",1/2/1950,,0.04,0,37,28,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",1/3/1950,,0.27,0,51,35,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",1/4/1950,,0,0,60,50,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",1/5/1950,,0.03,0,58,41,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",1/6/1950,,0.9,0,42,34,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",1/7/1950,,0.21,0,34,21,1,,,,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",1/8/1950,,0,0,22,2,,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",1/9/1950,,0,0,31,4,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",1/10/1950,,0.81,0,43,23,1,,,1,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",1/11/1950,,0,0,46,19,1,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",1/12/1950,,0,0,33,15,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",1/13/1950,,0.15,0,46,24,1,,,,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",1/14/1950,,0.01,0,56,30,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",1/15/1950,,0,0,40,25,,,,1,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",1/16/1950,,0.19,0,47,27,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",1/17/1950,,0,0,31,22,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",1/18/1950,,0.3,2,44,22,1,,,1,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",1/19/1950,,0,0,23,13,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",1/20/1950,,0,0,21,10,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",1/21/1950,,0.02,1.4,20,9,1,,,,,,,1,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",1/22/1950,,0.6,2.1,35,19,1,,,1,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",1/23/1950,,0,0,40,32,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",1/24/1950,,0.2,0,39,21,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",1/25/1950,,0.01,0,41,20,1,,,1,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",1/26/1950,,0.01,0,67,40,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",1/27/1950,,0.02,0,42,17,,,,1,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",1/28/1950,,0,0,33,11,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",1/29/1950,,0.22,0,55,31,1,,,1,,,,1,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",1/30/1950,,0,0,47,22,1,,,,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",1/31/1950,,0.22,2,22,13,1,,,1,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",2/1/1950,,0,0,30,20,,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",2/2/1950,,0.24,2.2,33,27,1,,,1,,1,,1,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",2/3/1950,,0,0,34,18,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",2/4/1950,,0,0,32,17,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",2/5/1950,,0,0,23,8,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",2/6/1950,,0.17,1.9,33,23,1,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/7/1950,,0,0,28,7,1,,,,,,,1,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/8/1950,,0,0,26,0,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",2/9/1950,,0.54,0.5,46,19,1,,,1,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",2/10/1950,,0,0,36,29,,,,,,,,1,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/11/1950,,0.01,0,35,29,1,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/12/1950,,0,0,39,26,1,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",2/13/1950,,0.09,1.2,32,24,1,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/14/1950,,0.5,6,29,21,1,,,1,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/15/1950,,0.92,6,32,24,1,,,1,,1,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",2/16/1950,,0.04,0.4,32,23,,,,,,,,1,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/17/1950,,0.04,1,35,27,,,,,,,,1,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/18/1950,,0,0,32,23,,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/19/1950,,0.06,1,36,17,1,,,,,,,1,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/20/1950,,0,0,17,-6,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",2/21/1950,,0.02,0.4,15,-10,,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/22/1950,,0.39,5.1,14,6,1,,,,,1,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",2/23/1950,,0.15,1.3,24,14,1,,,1,,1,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",2/24/1950,,0,0,40,15,,,,,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",2/25/1950,,0,0,27,8,,,,,,,,,1,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/26/1950,,0.02,0.4,22,1,,,,,,,,,1,,,,,,,1,,
USW00094746,"WORCESTER, MA US",2/27/1950,,0,0,11,-5,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",2/28/1950,,0.17,2,30,-1,1,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",3/1/1950,,0.04,1,36,15,1,,,1,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",3/2/1950,,0,0,18,3,,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",3/3/1950,,0,0,10,-4,,,,,,,,,,,,,,,,,,
