DATE,Precipitation,Snowfall,TMAX,TMIN,Fog,Heavy_fog,Thunder,Ice_pellets,Hail,Glaze,Dust,Smoke,Blowing,High_winds,Mist,Drizzle,Freezing_dizzile,Rain,Freezing,Snow,Ice_Fog,Extreme
1/1/1961,1.09,3,35,24,1,,,,,1,,1,,,,,,1,,1,,
1/2/1961,0,0,29,19,,,,,,,,,,,,,,,,,,
1/3/1961,0,0,25,13,,,,,,,,,,,,,,,,,,
1/4/1961,0,0,25,12,,,,,,,,,,,,,,,,,,
1/5/1961,0,0,24,11,,,,,,,,,,,,,,,,,,
1/6/1961,0,0,41,18,1,,,,,,,,,,,,,,,1,,
1/7/1961,0,0,44,32,1,,,,,,,,,,,,,,,,,
1/8/1961,0,0,38,17,1,,,,,,,,,,,,,,,1,,
1/9/1961,0,0,24,13,,,,,,,,,,,,,,,,,,
1/10/1961,0,0,26,9,,,,,,,,,,,,,,,,,,
1/11/1961,0,0,38,18,,,,,,,,,,,,,,,,,,
1/12/1961,0,0,34,15,,,,,,,,,,,,,,,,,,
1/13/1961,0,0,40,15,,,,,,,,,,,,,,,,,,
1/14/1961,0,0,50,34,1,,,,,,,1,,,,,,,,,,
1/15/1961,0.12,1.4,34,19,,,,,,,,,,,,,,,,1,,
1/16/1961,0.37,7.2,28,18,,,,,,,,,1,,,,,,,1,,
1/17/1961,0,0,41,22,,,,,,,,,,,,,,,,,,
1/18/1961,0,0,37,11,,,,,,,,,,,,,,,,,,
1/19/1961,0,0.3,15,5,,,,,,,,,,,,,,,,1,,
1/20/1961,1.23,18.4,8,0,,,,,,,,,1,,,,,,,1,,
1/21/1961,0,0,14,-3,,,,,,,,,1,,,,,,,,,
1/22/1961,0,0,18,0,,,,,,,,,,,,,,,,,,
1/23/1961,0,0,13,-2,,,,,,,,1,,,,,,,,1,,
1/24/1961,0,0,14,-1,,,,,,,,1,,,,,,,,1,,
1/25/1961,0,0,12,-6,,,,,,,,,,,,,,,,,,
1/26/1961,0.12,1.2,19,4,,,,,,,,,,,,,,,,1,,
1/27/1961,0.09,0.9,16,3,,,,,,,,,,,,,,,,1,,
1/28/1961,0,0,18,5,,,,,,,,,,,,,,,,,,
