STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094746,"WORCESTER, MA US",1/1/1950,,40,27,
USW00094746,"WORCESTER, MA US",1/2/1950,,37,28,
USW00094746,"WORCESTER, MA US",1/3/1950,,51,35,
USW00094746,"WORCESTER, MA US",1/4/1950,,60,50,
USW00094746,"WORCESTER, MA US",1/5/1950,,58,41,
USW00094746,"WORCESTER, MA US",1/6/1950,,42,34,
USW00094746,"WORCESTER, MA US",1/7/1950,,34,21,
USW00094746,"WORCESTER, MA US",1/8/1950,,22,2,
USW00094746,"WORCESTER, MA US",1/9/1950,,31,4,
USW00094746,"WORCESTER, MA US",1/10/1950,,43,23,
USW00094746,"WORCESTER, MA US",1/11/1950,,46,19,
USW00094746,"WORCESTER, MA US",1/12/1950,,33,15,
USW00094746,"WORCESTER, MA US",1/13/1950,,46,24,
USW00094746,"WORCESTER, MA US",1/14/1950,,56,30,
USW00094746,"WORCESTER, MA US",1/15/1950,,40,25,
USW00094746,"WORCESTER, MA US",1/16/1950,,47,27,
USW00094746,"WORCESTER, MA US",1/17/1950,,31,22,
USW00094746,"WORCESTER, MA US",1/18/1950,,44,22,
USW00094746,"WORCESTER, MA US",1/19/1950,,23,13,
USW00094746,"WORCESTER, MA US",1/20/1950,,21,10,
USW00094746,"WORCESTER, MA US",1/21/1950,,20,9,
USW00094746,"WORCESTER, MA US",1/22/1950,,35,19,
USW00094746,"WORCESTER, MA US",1/23/1950,,40,32,
USW00094746,"WORCESTER, MA US",1/24/1950,,39,21,
USW00094746,"WORCESTER, MA US",1/25/1950,,41,20,
USW00094746,"WORCESTER, MA US",1/26/1950,,67,40,
USW00094746,"WORCESTER, MA US",1/27/1950,,42,17,
USW00094746,"WORCESTER, MA US",1/28/1950,,33,11,
USW00094746,"WORCESTER, MA US",1/29/1950,,55,31,
USW00094746,"WORCESTER, MA US",1/30/1950,,47,22,
USW00094746,"WORCESTER, MA US",1/31/1950,,22,13,
USW00094746,"WORCESTER, MA US",2/1/1950,,30,20,
USW00094746,"WORCESTER, MA US",2/2/1950,,33,27,
USW00094746,"WORCESTER, MA US",2/3/1950,,34,18,
USW00094746,"WORCESTER, MA US",2/4/1950,,32,17,
USW00094746,"WORCESTER, MA US",2/5/1950,,23,8,
USW00094746,"WORCESTER, MA US",2/6/1950,,33,23,
USW00094746,"WORCESTER, MA US",2/7/1950,,28,7,
USW00094746,"WORCESTER, MA US",2/8/1950,,26,0,
USW00094746,"WORCESTER, MA US",2/9/1950,,46,19,
USW00094746,"WORCESTER, MA US",2/10/1950,,36,29,
USW00094746,"WORCESTER, MA US",2/11/1950,,35,29,
USW00094746,"WORCESTER, MA US",2/12/1950,,39,26,
USW00094746,"WORCESTER, MA US",2/13/1950,,32,24,
USW00094746,"WORCESTER, MA US",2/14/1950,,29,21,
USW00094746,"WORCESTER, MA US",2/15/1950,,32,24,
USW00094746,"WORCESTER, MA US",2/16/1950,,32,23,
USW00094746,"WORCESTER, MA US",2/17/1950,,35,27,
USW00094746,"WORCESTER, MA US",2/18/1950,,32,23,
USW00094746,"WORCESTER, MA US",2/19/1950,,36,17,
USW00094746,"WORCESTER, MA US",2/20/1950,,17,-6,
USW00094746,"WORCESTER, MA US",2/21/1950,,15,-10,
USW00094746,"WORCESTER, MA US",2/22/1950,,14,6,
USW00094746,"WORCESTER, MA US",2/23/1950,,24,14,
USW00094746,"WORCESTER, MA US",2/24/1950,,40,15,
USW00094746,"WORCESTER, MA US",2/25/1950,,27,8,
USW00094746,"WORCESTER, MA US",2/26/1950,,22,1,
USW00094746,"WORCESTER, MA US",2/27/1950,,11,-5,
USW00094746,"WORCESTER, MA US",2/28/1950,,30,-1,
USW00094746,"WORCESTER, MA US",3/1/1950,,36,15,
USW00094746,"WORCESTER, MA US",3/2/1950,,18,3,
USW00094746,"WORCESTER, MA US",3/3/1950,,10,-4,
USW00094746,"WORCESTER, MA US",3/4/1950,,20,-6,
USW00094746,"WORCESTER, MA US",3/5/1950,,42,11,
USW00094746,"WORCESTER, MA US",3/6/1950,,38,11,
USW00094746,"WORCESTER, MA US",3/7/1950,,37,8,
USW00094746,"WORCESTER, MA US",3/8/1950,,53,26,
USW00094746,"WORCESTER, MA US",3/9/1950,,53,9,
USW00094746,"WORCESTER, MA US",3/10/1950,,22,7,
USW00094746,"WORCESTER, MA US",3/11/1950,,33,11,
USW00094746,"WORCESTER, MA US",3/12/1950,,44,28,
USW00094746,"WORCESTER, MA US",3/13/1950,,28,20,
USW00094746,"WORCESTER, MA US",3/14/1950,,30,18,
USW00094746,"WORCESTER, MA US",3/15/1950,,38,15,
USW00094746,"WORCESTER, MA US",3/16/1950,,33,15,
USW00094746,"WORCESTER, MA US",3/17/1950,,32,15,
USW00094746,"WORCESTER, MA US",3/18/1950,,32,15,
USW00094746,"WORCESTER, MA US",3/19/1950,,37,12,
USW00094746,"WORCESTER, MA US",3/20/1950,,45,21,
USW00094746,"WORCESTER, MA US",3/21/1950,,34,26,
USW00094746,"WORCESTER, MA US",3/22/1950,,41,26,
USW00094746,"WORCESTER, MA US",3/23/1950,,38,32,
USW00094746,"WORCESTER, MA US",3/24/1950,,39,32,
USW00094746,"WORCESTER, MA US",3/25/1950,,41,30,
USW00094746,"WORCESTER, MA US",3/26/1950,,47,28,
USW00094746,"WORCESTER, MA US",3/27/1950,,38,32,
USW00094746,"WORCESTER, MA US",3/28/1950,,61,34,
USW00094746,"WORCESTER, MA US",3/29/1950,,64,31,
USW00094746,"WORCESTER, MA US",3/30/1950,,38,23,
USW00094746,"WORCESTER, MA US",3/31/1950,,40,21,
USW00094746,"WORCESTER, MA US",4/1/1950,,51,25,
USW00094746,"WORCESTER, MA US",4/2/1950,,51,35,
USW00094746,"WORCESTER, MA US",4/3/1950,,55,35,
USW00094746,"WORCESTER, MA US",4/4/1950,,75,46,
USW00094746,"WORCESTER, MA US",4/5/1950,,59,35,
USW00094746,"WORCESTER, MA US",4/6/1950,,40,23,
USW00094746,"WORCESTER, MA US",4/7/1950,,42,21,
USW00094746,"WORCESTER, MA US",4/8/1950,,49,28,
USW00094746,"WORCESTER, MA US",4/9/1950,,40,27,
USW00094746,"WORCESTER, MA US",4/10/1950,,47,23,
USW00094746,"WORCESTER, MA US",4/11/1950,,48,29,
USW00094746,"WORCESTER, MA US",4/12/1950,,46,33,
USW00094746,"WORCESTER, MA US",4/13/1950,,37,31,
USW00094746,"WORCESTER, MA US",4/14/1950,,42,31,
USW00094746,"WORCESTER, MA US",4/15/1950,,44,30,
USW00094746,"WORCESTER, MA US",4/16/1950,,55,33,
USW00094746,"WORCESTER, MA US",4/17/1950,,60,35,
USW00094746,"WORCESTER, MA US",4/18/1950,,68,46,
USW00094746,"WORCESTER, MA US",4/19/1950,,67,43,
USW00094746,"WORCESTER, MA US",4/20/1950,,55,41,
USW00094746,"WORCESTER, MA US",4/21/1950,,55,38,
USW00094746,"WORCESTER, MA US",4/22/1950,,47,33,
USW00094746,"WORCESTER, MA US",4/23/1950,,50,35,
USW00094746,"WORCESTER, MA US",4/24/1950,,52,32,
USW00094746,"WORCESTER, MA US",4/25/1950,,60,36,
USW00094746,"WORCESTER, MA US",4/26/1950,,41,36,
USW00094746,"WORCESTER, MA US",4/27/1950,,63,35,
USW00094746,"WORCESTER, MA US",4/28/1950,,54,39,
USW00094746,"WORCESTER, MA US",4/29/1950,,44,35,
USW00094746,"WORCESTER, MA US",4/30/1950,,59,37,
USW00094746,"WORCESTER, MA US",5/1/1950,,43,37,
USW00094746,"WORCESTER, MA US",5/2/1950,,65,38,
USW00094746,"WORCESTER, MA US",5/3/1950,,68,44,
USW00094746,"WORCESTER, MA US",5/4/1950,,72,47,
USW00094746,"WORCESTER, MA US",5/5/1950,,54,44,
USW00094746,"WORCESTER, MA US",5/6/1950,,81,45,
USW00094746,"WORCESTER, MA US",5/7/1950,,72,37,
USW00094746,"WORCESTER, MA US",5/8/1950,,54,29,
USW00094746,"WORCESTER, MA US",5/9/1950,,70,35,
USW00094746,"WORCESTER, MA US",5/10/1950,,61,42,
USW00094746,"WORCESTER, MA US",5/11/1950,,62,47,
