Index,STATION,NAME,Month,Date,Year,Season,TMAX,TMIN
0,USW00094746,"WORCESTER, MA US",1,1,1950,Spring,40,27
1,USW00094746,"WORCESTER, MA US",1,2,1950,Spring,37,28
2,USW00094746,"WORCESTER, MA US",1,3,1950,Spring,51,35
3,USW00094746,"WORCESTER, MA US",1,4,1950,Spring,60,50
4,USW00094746,"WORCESTER, MA US",1,5,1950,Spring,58,41
5,USW00094746,"WORCESTER, MA US",1,6,1950,Spring,42,34
6,USW00094746,"WORCESTER, MA US",1,7,1950,Spring,34,21
7,USW00094746,"WORCESTER, MA US",1,8,1950,Spring,22,2
8,USW00094746,"WORCESTER, MA US",1,9,1950,Spring,31,4
9,USW00094746,"WORCESTER, MA US",1,10,1950,Spring,43,23
10,USW00094746,"WORCESTER, MA US",1,11,1950,Spring,46,19
11,USW00094746,"WORCESTER, MA US",1,12,1950,Spring,33,15
12,USW00094746,"WORCESTER, MA US",1,13,1950,Spring,46,24
13,USW00094746,"WORCESTER, MA US",1,14,1950,Spring,56,30
14,USW00094746,"WORCESTER, MA US",1,15,1950,Spring,40,25
15,USW00094746,"WORCESTER, MA US",1,16,1950,Spring,47,27
16,USW00094746,"WORCESTER, MA US",1,17,1950,Spring,31,22
17,USW00094746,"WORCESTER, MA US",1,18,1950,Spring,44,22
18,USW00094746,"WORCESTER, MA US",1,19,1950,Spring,23,13
19,USW00094746,"WORCESTER, MA US",1,20,1950,Spring,21,10
20,USW00094746,"WORCESTER, MA US",1,21,1950,Spring,20,9
21,USW00094746,"WORCESTER, MA US",1,22,1950,Spring,35,19
22,USW00094746,"WORCESTER, MA US",1,23,1950,Spring,40,32
23,USW00094746,"WORCESTER, MA US",1,24,1950,Spring,39,21
24,USW00094746,"WORCESTER, MA US",1,25,1950,Spring,41,20
25,USW00094746,"WORCESTER, MA US",1,26,1950,Spring,67,40
26,USW00094746,"WORCESTER, MA US",1,27,1950,Spring,42,17
27,USW00094746,"WORCESTER, MA US",1,28,1950,Spring,33,11
28,USW00094746,"WORCESTER, MA US",1,29,1950,Spring,55,31
29,USW00094746,"WORCESTER, MA US",1,30,1950,Spring,47,22
30,USW00094746,"WORCESTER, MA US",1,31,1950,Spring,22,13
31,USW00094746,"WORCESTER, MA US",2,1,1950,Spring,30,20
32,USW00094746,"WORCESTER, MA US",2,2,1950,Spring,33,27
33,USW00094746,"WORCESTER, MA US",2,3,1950,Spring,34,18
34,USW00094746,"WORCESTER, MA US",2,4,1950,Spring,32,17
35,USW00094746,"WORCESTER, MA US",2,5,1950,Spring,23,8
36,USW00094746,"WORCESTER, MA US",2,6,1950,Spring,33,23
37,USW00094746,"WORCESTER, MA US",2,7,1950,Spring,28,7
38,USW00094746,"WORCESTER, MA US",2,8,1950,Spring,26,0
39,USW00094746,"WORCESTER, MA US",2,9,1950,Spring,46,19
40,USW00094746,"WORCESTER, MA US",2,10,1950,Spring,36,29
41,USW00094746,"WORCESTER, MA US",2,11,1950,Spring,35,29
42,USW00094746,"WORCESTER, MA US",2,12,1950,Spring,39,26
43,USW00094746,"WORCESTER, MA US",2,13,1950,Spring,32,24
44,USW00094746,"WORCESTER, MA US",2,14,1950,Spring,29,21
45,USW00094746,"WORCESTER, MA US",2,15,1950,Spring,32,24
46,USW00094746,"WORCESTER, MA US",2,16,1950,Spring,32,23
47,USW00094746,"WORCESTER, MA US",2,17,1950,Spring,35,27
48,USW00094746,"WORCESTER, MA US",2,18,1950,Spring,32,23
49,USW00094746,"WORCESTER, MA US",2,19,1950,Spring,36,17
50,USW00094746,"WORCESTER, MA US",2,20,1950,Spring,17,-6
51,USW00094746,"WORCESTER, MA US",2,21,1950,Spring,15,-10
52,USW00094746,"WORCESTER, MA US",2,22,1950,Spring,14,6
53,USW00094746,"WORCESTER, MA US",2,23,1950,Spring,24,14
54,USW00094746,"WORCESTER, MA US",2,24,1950,Spring,40,15
55,USW00094746,"WORCESTER, MA US",2,25,1950,Spring,27,8
56,USW00094746,"WORCESTER, MA US",2,26,1950,Spring,22,1
57,USW00094746,"WORCESTER, MA US",2,27,1950,Spring,11,-5
58,USW00094746,"WORCESTER, MA US",2,28,1950,Spring,30,-1
59,USW00094746,"WORCESTER, MA US",3,1,1950,Spring,36,15
60,USW00094746,"WORCESTER, MA US",3,2,1950,Spring,18,3
61,USW00094746,"WORCESTER, MA US",3,3,1950,Spring,10,-4
62,USW00094746,"WORCESTER, MA US",3,4,1950,Spring,20,-6
63,USW00094746,"WORCESTER, MA US",3,5,1950,Spring,42,11
64,USW00094746,"WORCESTER, MA US",3,6,1950,Spring,38,11
65,USW00094746,"WORCESTER, MA US",3,7,1950,Spring,37,8
66,USW00094746,"WORCESTER, MA US",3,8,1950,Spring,53,26
67,USW00094746,"WORCESTER, MA US",3,9,1950,Spring,53,9
68,USW00094746,"WORCESTER, MA US",3,10,1950,Spring,22,7
69,USW00094746,"WORCESTER, MA US",3,11,1950,Spring,33,11
70,USW00094746,"WORCESTER, MA US",3,12,1950,Spring,44,28
71,USW00094746,"WORCESTER, MA US",3,13,1950,Spring,28,20
72,USW00094746,"WORCESTER, MA US",3,14,1950,Spring,30,18
73,USW00094746,"WORCESTER, MA US",3,15,1950,Spring,38,15
74,USW00094746,"WORCESTER, MA US",3,16,1950,Spring,33,15
75,USW00094746,"WORCESTER, MA US",3,17,1950,Spring,32,15
76,USW00094746,"WORCESTER, MA US",3,18,1950,Spring,32,15
77,USW00094746,"WORCESTER, MA US",3,19,1950,Spring,37,12
78,USW00094746,"WORCESTER, MA US",3,20,1950,Spring,45,21
79,USW00094746,"WORCESTER, MA US",3,21,1950,Spring,34,26
80,USW00094746,"WORCESTER, MA US",3,22,1950,Spring,41,26
81,USW00094746,"WORCESTER, MA US",3,23,1950,Spring,38,32
82,USW00094746,"WORCESTER, MA US",3,24,1950,Spring,39,32
83,USW00094746,"WORCESTER, MA US",3,25,1950,Spring,41,30
84,USW00094746,"WORCESTER, MA US",3,26,1950,Spring,47,28
85,USW00094746,"WORCESTER, MA US",3,27,1950,Spring,38,32
86,USW00094746,"WORCESTER, MA US",3,28,1950,Spring,61,34
87,USW00094746,"WORCESTER, MA US",3,29,1950,Spring,64,31
88,USW00094746,"WORCESTER, MA US",3,30,1950,Spring,38,23
89,USW00094746,"WORCESTER, MA US",3,31,1950,Spring,40,21
90,USW00094746,"WORCESTER, MA US",4,1,1950,Summer,51,25
91,USW00094746,"WORCESTER, MA US",4,2,1950,Summer,51,35
92,USW00094746,"WORCESTER, MA US",4,3,1950,Summer,55,35
93,USW00094746,"WORCESTER, MA US",4,4,1950,Summer,75,46
94,USW00094746,"WORCESTER, MA US",4,5,1950,Summer,59,35
95,USW00094746,"WORCESTER, MA US",4,6,1950,Summer,40,23
96,USW00094746,"WORCESTER, MA US",4,7,1950,Summer,42,21
97,USW00094746,"WORCESTER, MA US",4,8,1950,Summer,49,28
98,USW00094746,"WORCESTER, MA US",4,9,1950,Summer,40,27
99,USW00094746,"WORCESTER, MA US",4,10,1950,Summer,47,23
100,USW00094746,"WORCESTER, MA US",4,11,1950,Summer,48,29
101,USW00094746,"WORCESTER, MA US",4,12,1950,Summer,46,33
102,USW00094746,"WORCESTER, MA US",4,13,1950,Summer,37,31
103,USW00094746,"WORCESTER, MA US",4,14,1950,Summer,42,31
104,USW00094746,"WORCESTER, MA US",4,15,1950,Summer,44,30
105,USW00094746,"WORCESTER, MA US",4,16,1950,Summer,55,33
106,USW00094746,"WORCESTER, MA US",4,17,1950,Summer,60,35
107,USW00094746,"WORCESTER, MA US",4,18,1950,Summer,68,46
108,USW00094746,"WORCESTER, MA US",4,19,1950,Summer,67,43
109,USW00094746,"WORCESTER, MA US",4,20,1950,Summer,55,41
110,USW00094746,"WORCESTER, MA US",4,21,1950,Summer,55,38
111,USW00094746,"WORCESTER, MA US",4,22,1950,Summer,47,33
112,USW00094746,"WORCESTER, MA US",4,23,1950,Summer,50,35
113,USW00094746,"WORCESTER, MA US",4,24,1950,Summer,52,32
114,USW00094746,"WORCESTER, MA US",4,25,1950,Summer,60,36
115,USW00094746,"WORCESTER, MA US",4,26,1950,Summer,41,36
116,USW00094746,"WORCESTER, MA US",4,27,1950,Summer,63,35
117,USW00094746,"WORCESTER, MA US",4,28,1950,Summer,54,39
118,USW00094746,"WORCESTER, MA US",4,29,1950,Summer,44,35
119,USW00094746,"WORCESTER, MA US",4,30,1950,Summer,59,37
120,USW00094746,"WORCESTER, MA US",5,1,1950,Summer,43,37
121,USW00094746,"WORCESTER, MA US",5,2,1950,Summer,65,38
122,USW00094746,"WORCESTER, MA US",5,3,1950,Summer,68,44
123,USW00094746,"WORCESTER, MA US",5,4,1950,Summer,72,47
124,USW00094746,"WORCESTER, MA US",5,5,1950,Summer,54,44
125,USW00094746,"WORCESTER, MA US",5,6,1950,Summer,81,45
126,USW00094746,"WORCESTER, MA US",5,7,1950,Summer,72,37
127,USW00094746,"WORCESTER, MA US",5,8,1950,Summer,54,29
128,USW00094746,"WORCESTER, MA US",5,9,1950,Summer,70,35
129,USW00094746,"WORCESTER, MA US",5,10,1950,Summer,61,42
130,USW00094746,"WORCESTER, MA US",5,11,1950,Summer,62,47
131,USW00094746,"WORCESTER, MA US",5,12,1950,Summer,69,44
132,USW00094746,"WORCESTER, MA US",5,13,1950,Summer,75,47
133,USW00094746,"WORCESTER, MA US",5,14,1950,Summer,65,34
